Actual Document Type,File Name,Release Date,Title,Speaker,Speaker Title,Event Name,Event Location,Congressional Subcommittee Name,Congressional Committee Name,Congressional Body
Speech,brainard20170301a.pdf,2017-03-01,Transitions in the Outlook and Monetary Policy,Lael Brainard,Member Board of Governors of the Federal Reserve System,John F. Kennedy School of Government Harvard University,"Cambridge, Massachusetts",0,0,0
Speech,fischer20170303c.pdf,2017-03-03,"Monetary Policy: By Rule, By Committee, or By Both?",Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"2017 U.S. Monetary Policy Forum, sponsored by the Initiative on Global Markets at the University of Chicago Booth School of Business","New York, New York",0,0,0
Speech,powell20170303b.pdf,2017-03-03,"Innovation, Technology, and the Payments System",Jerome H. Powell,Member Board of Governors of the Federal Reserve System,"Blockchain: The Future of Finance and Capital Markets? The Yale Law School Center for the Study of Corporate Law Weil, Gotshal & Manges Roundtable Yale University","New Haven, Connecticut",0,0,0
Speech,yellen20170303a.pdf,2017-03-03,From Adding Accommodation to Scaling It Back,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"Chicago Hilton 720 S. Michigan Avenue Chicago, Illinois","Chicago, Illinois",0,0,0
Speech,yellen20170323a.pdf,2017-03-23,Opening Remarks by Chair Yellen,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"“Strong Foundations: The Economic Futures of Kids and Communities,” the 10th Biennial Federal Reserve System Community Development Research Conference","Washington, D.C.",0,0,0
Speech,powell20170328a.pdf,2017-03-28,America’s Central Bank: The History and Structure of the Federal Reserve,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,West Virginia University College of Business and Economics Distinguished Speaker Series,"Morgantown, West Virginia",0,0,0
Speech,yellen20170328a.pdf,2017-03-28,Addressing Workforce Development Challenges in Low-Income Communities,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"“Creating a Just Economy,” the 2017 annual conference of the National Community Reinvestment Coalition","Washington, D.C.",0,0,0
Speech,tarullo20170404a.pdf,2017-04-04,Departing Thoughts,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,The Woodrow Wilson School Princeton University,"Princeton, New Jersey",0,0,0
Speech,powell20170405a.pdf,2017-04-05,Welcoming remarks by Governor Powell,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,"“Expanding the Impact: Increasing Capacity and Influence,” the 2017 Interagency Minority Depository Institution and Community Development Financial Institution Bank National Conference","Los Angeles, California",0,0,0
Speech,fischer20170417a.pdf,2017-04-17,Monetary Policy Expectations and Surprises,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,School of International and Public Affairs Columbia University,"New York, New York",0,0,0
Speech,fischer20170419a.pdf,2017-04-19,International Effects of Recent Policy Tightening,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,IBRN-IMF conference: The Transmission of Macroprudential and Monetary Policies Across Borders,"Washington, D.C.",0,0,0
Speech,powell20170420a.pdf,2017-04-20,Brief remarks by Governor Powell,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,The Global Finance Forum,"Washington, D.C.",0,0,0
Speech,brainard20170428a.pdf,2017-04-28,Where Do Banks Fit in the Fintech Stack?,Lael Brainard,Member Board of Governors of the Federal Reserve System,"Northwestern Kellogg Public-Private Interface Conference on ""New Developments in Consumer Finance: Research & Practice""
-Private Interface Conference on 
“New Developments in Consumer Finance: Research & Practice”","Evanston, Illinois",0,0,0
Speech,fischer20170505a.pdf,2017-05-05,Committee Decisions and Monetary Policy Rules,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"""The Structural Foundations of Monetary Policy,"" a Hoover Institution Monetary Policy Conference, Stanford University","Stanford, California",0,0,0
Speech,yellen20170505a.pdf,2017-05-05,So We All Can Succeed: 125 Years of Women’s Participation in the Economy,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,“125 Years of Women at Brown Conference” sponsored by Brown University,"Providence, Rhode Island",0,0,0
Speech,brainard20170522a.pdf,2017-05-22,Why Opportunity and Inclusion Matter to America’s Economic Strength,Lael Brainard,Member Board of Governors of the Federal Reserve System,"Opportunity and Inclusive Growth Institute Conference, sponsored by the Federal Reserve Bank of Minneapolis","Minneapolis, Minnesota",0,0,0
Speech,brainard20170530a.pdf,2017-05-30,Navigating the Different Signals from Inflation and Unemployment,Lael Brainard,Member Board of Governors of the Federal Reserve System,New York Association for Business Economics,"New York, New York",0,0,0
Speech,powell20170601a.pdf,2017-06-01,Thoughts on the Normalization of Monetary Policy,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Economic Club of New York,"New York, New York",0,0,0
Speech,fischer20170620a.pdf,2017-06-20,Housing and Financial Stability,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,DNB-Riksbank Macroprudential Conference Series,"Amsterdam, Netherlands",0,0,0
Testimony,powell20170622a.pdf,2017-06-22,Relationship Between Regulation and Economic Growth,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,powell20170623a.pdf,2017-06-23,Central Clearing and Liquidity,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of Chicago Symposium on Central Clearing,"Chicago, Illinois",0,0,0
Speech,powell20170626a.pdf,2017-06-26,Remarks by Governor Powell,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Salzburg Global Seminar,"Salzburg, Austria",0,0,0
Speech,fischer20170627a.pdf,2017-06-27,An Assessment of Financial Stability in the United States,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"IMF Workshop on Financial Surveillance and Communication: Best Practices from Latin America, the Caribbean, and Advanced Economies","Washington, D.C.",0,0,0
Speech,fischer20170706a.pdf,2017-07-06,Government Policy and Labor Productivity,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"“Washington Transformation? Politics, Policies, Prospects,” a forum sponsored by the Summer Institute of Martha’s Vineyard Hebrew Center","Vineyard Haven, Massachusetts",0,0,0
Speech,powell20170706a.pdf,2017-07-06,The Case for Housing Finance Reform,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,American Enterprise Institute,"Washington, D.C.",0,0,0
Speech,brainard20170711a.pdf,2017-07-11,Cross-Border Spillovers of Balance Sheet Normalization,Lael Brainard,Member Board of Governors of the Federal Reserve System,“Normalizing Central Banks’ Balance Sheets: What Is the New Normal?” a conference sponsored by Columbia University’s School of International and Public Affairs and the Federal Reserve Bank of New York,"New York, New York",0,0,0
Testimony,yellen20170712a.pdf,2017-07-12,Semiannual Monetary Policy Report to the Congress,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,brainard20170713a.pdf,2017-07-13,Cross-Border Spillovers of Balance Sheet Normalization,Lael Brainard,Member Board of Governors of the Federal Reserve System,National Bureau of Economic Research’s Monetary Economics Summer Institute,"Cambridge, Massachusetts",0,0,0
Speech,brainard20170728a.pdf,2017-07-28,Strengthening Diversity in Economics,Lael Brainard,Member Board of Governors of the Federal Reserve System,"Conference for the 2017 Summer Training and Scholarship Program sponsored by the American Economic Association and the National Science Foundation and hosted by the Department of Economics, Michigan State University","East Lansing, Michigan",0,0,0
Speech,fischer20170731a.pdf,2017-07-31,The Low Level of Global Real Interest Rates,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,Conference to Celebrate Arminio Fraga’s 60 Years,"Rio de Janeiro, Brazil",0,0,0
Speech,yellen20170825a.pdf,2017-08-25,Financial Stability a Decade after the Onset of the Crisis,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"""Fostering a Dynamic Global Recovery,"" a symposium sponsored by the Federal Reserve Bank of Kansas City","Jackson Hole, Wyoming",0,0,0
Speech,powell20170830a.pdf,2017-08-30,The Role of Boards at Large Financial Firms,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Large Bank Directors Conference,"Chicago, Illinois",0,0,0
Speech,brainard20170905a.pdf,2017-09-05,Understanding the Disconnect between Employment and Inflation with a Low Neutral Rate,Lael Brainard,Member Board of Governors of the Federal Reserve System,The Economic Club of New York,"New York, New York",0,0,0
Speech,brainard20170926a.pdf,2017-09-26,Why Persistent Employment Disparities Matter for the Economy’s Health,Lael Brainard,Member Board of Governors of the Federal Reserve System,“Disparities in the Labor Market: What Are We Missing?” a research conference sponsored by the Board of Governors of the Federal Reserve System,"Washington, D.C.",0,0,0
Speech,yellen20170926a.pdf,2017-09-26,"Inflation, Uncertainty, and Monetary Policy",Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,“Prospects for Growth: Reassessing the Fundamentals” 59th Annual Meeting of the National Association for Business Economics,"Cleveland, Ohio",0,0,0
Speech,brainard20170927a.pdf,2017-09-27,Labor Market Disparities and Economic Performance,Lael Brainard,Member Board of Governors of the Federal Reserve System,Labor Market Disparities and Economic Performance Lael Brainard Governor Board of Governors of the Federal Reserve System,"Kansas City, Missouri",0,0,0
Speech,fischer20170928a.pdf,2017-09-28,The Independent Bank of England--20 Years On,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"“20 Years On,” a conference sponsored by the Bank of England","London, United Kingdom",0,0,0
Speech,fischer20170928r.pdf,2017-09-28,The Independent Bank of England--20 Years On,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"“20 Years On,” a conference sponsored by the Bank of England","London, United Kingdom",0,0,0
Speech,yellen20171004a.pdf,2017-10-04,Welcoming Remarks by Chair Yellen,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Community Banking in the 21st Century Fifth Annual Community Banking Research and Policy Conference cosponsored by the Federal Reserve System and Conference of State Bank Supervisors,"St. Louis, Missouri",0,0,0
Speech,powell20171005a.pdf,2017-10-05,Treasury Markets and the TMPG,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,TMPG Best Practices @ 10: A Look Back and a Look Ahead Federal Reserve Bank of New York,"New York, New York",0,0,0
Speech,brainard20171012a.pdf,2017-10-12,Rethinking Monetary Policy in a New Normal,Lael Brainard,Member Board of Governors of the Federal Reserve System,"Panel on Monetary Policy “Rethinking Macroeconomic Policy,” a conference sponsored by the Peterson Institute for International Economics","Washington, D.C.",0,0,0
Speech,powell20171012a.pdf,2017-10-12,Prospects for Emerging Market Economies in a Normalizing Global Economy,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,2017 Annual Membership Meeting of the Institute of International Finance,"Washington, D.C.",0,0,0
Speech,yellen20171015a.pdf,2017-10-15,The U.S. Economy and Monetary Policy,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,G-30 International Banking Seminar,"Washington, D.C.",0,0,0
Speech,powell20171018a.pdf,2017-10-18,Financial Innovation: A World in Transition,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,"41st Annual Central Banking Seminar, sponsored by the Federal Reserve Bank of New York","New York, New York",0,0,0
Speech,yellen20171020a.pdf,2017-10-20,A Challenging Decade and a Question for the Future,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,2017 Herbert Stein Memorial Lecture National Economists Club,"Washington, D.C.",0,0,0
Speech,powell20171102a.pdf,2017-11-02,Introductory Remarks by Governor Powell,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Roundtable of the Alternative Reference Rates Committee,"New York, New York",0,0,0
Speech,yellen20171107a.pdf,2017-11-07,Remarks by Chair Yellen accepting the 2017 Paul H. Douglas Award for Ethics in Government,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,2017 Paul H. Douglas Award for Ethics in Government,"Washington, D.C.",0,0,0
Speech,brainard20171115a.pdf,2017-11-15,Regional Food Systems and Community Development,Lael Brainard,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of Boston Regional Food Systems Meeting,"Boston, Massachusetts",0,0,0
Speech,brainard20171116a.pdf,2017-11-16,Where Do Consumers Fit in the Fintech Stack?,Lael Brainard,Member Board of Governors of the Federal Reserve System,“FinTech Risks and Opportunities: An Interdisciplinary Approach” a conference sponsored by the University of Michigan,"Ann Arbor, Michigan",0,0,0
Testimony,powell20171128a.pdf,2017-11-28,Confirmation hearing,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Testimony,yellen20171129a.pdf,2017-11-29,The Current Economic Outlook and Monetary Policy,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,Joint Economic Committee,U.S. Congress
Speech,quarles20171130a.pdf,2017-11-30,Thoughts on Prudent Innovation in the Payment System,Randal K. Quarles,Member Board of Governors of the Federal Reserve System,"2017 Financial Stability and Fintech Conference sponsored by the Federal Reserve Bank of Cleveland, the Office of Financial Research, and the University of Maryland’s Robert H. Smith School of Business","Washington, D.C.",0,0,0
Speech,brainard20171213a.pdf,2017-12-13,Workforce Development in Today’s Economy,Lael Brainard,Member Board of Governors of the Federal Reserve System,“Leading the Way: A Workforce Development Video Campaign” awards ceremony hosted by the Federal Reserve Bank of New York and Pathways in Technology Early College High Schools in the Greater Rochester Area,"Rochester, New York",0,0,0
Speech,quarles20180119a.pdf,2018-01-19,Early Observations on Improving the Effectiveness of Post-Crisis Regulation,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,American Bar Association Banking Law Committee Annual Meeting The Ritz-Carlton,"Washington, D.C.",0,0,0
Speech,powell20180213a.pdf,2018-02-13,Remarks by Chairman Jerome H. Powell at the ceremonial swearing-in,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,Ceremonial Swearing-In Board of Governors of the Federal Reserve System,"Washington, D.C.",0,0,0
Speech,quarles20180222a.pdf,2018-02-22,The U.S. Economy after the Global Financial Crisis,Randal K. Quarles,Vice Chair Board of Governors of the Federal Reserve System,“10 Years after the Global Financial Crisis: How Has the World Economy Changed and Where Will It Go?” 26th International Financial Symposium sponsored by the Institute for International Monetary Affairs,"Tokyo, Japan",0,0,0
Speech,quarles20180226a.pdf,2018-02-26,An Assessment of the U.S. Economy,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,“Promoting Sustained Growth: Policy Tensions and Risks” 34th Annual NABE Economic Policy Conference,"Washington, D.C.",0,0,0
Speech,quarles20180226b.pdf,2018-02-26,Brief Thoughts on the Financial Regulatory System and Cybersecurity,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,Financial Services Roundtable 2018 Spring Conference,"Washington, D.C.",0,0,0
Testimony,powell20180227a.pdf,2018-02-27,Semiannual Monetary Policy Report to the Congress,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,quarles20180305a.pdf,2018-03-05,The Federal Reserve’s Regulatory Agenda for Foreign Banking Organizations: What Lies Ahead for Enhanced Prudential Standards and the Volcker Rule,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,Institute of International Bankers Annual Washington Conference,"Washington, D.C.",0,0,0
Speech,brainard20180306a.pdf,2018-03-06,Navigating Monetary Policy as Headwinds Shift to Tailwinds,Lael Brainard,Member Board of Governors of the Federal Reserve System,Money Marketeers of New York University,"New York, New York",0,0,0
Speech,quarles20180326a.pdf,2018-03-26,The Roles of Consumer Protection and Small Business Access to Credit in Financial Inclusion,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,HOPE Global Forums Annual Meeting,"Atlanta, Georgia",0,0,0
Speech,brainard20180403a.pdf,2018-04-03,An Update on the Federal Reserve’s Financial Stability Agenda,Lael Brainard,Member Board of Governors of the Federal Reserve System,Center for Global Economy and Business Stern School of Business New York University,"New York, New York",0,0,0
Speech,powell20180406a.pdf,2018-04-06,The Outlook for the U.S. Economy,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,The Economic Club of Chicago,"Chicago, Illinois",0,0,0
Testimony,quarles20180417a.pdf,2018-04-17,Semiannual Supervision and Regulation Testimony,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,brainard20180417a.pdf,2018-04-17,Community Development in Baltimore and A Few Observations on Community Reinvestment Act Modernization,Lael Brainard,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of Richmond Baltimore Community Development Gathering,"Baltimore, Maryland",0,0,0
Speech,brainard20180419a.pdf,2018-04-19,Safeguarding Financial Resilience through the Cycle,Lael Brainard,Member Board of Governors of the Federal Reserve System,Global Finance Forum,"Washington, D.C.",0,0,0
Speech,quarles20180504a.pdf,2018-05-04,Liquidity Regulation and the Size of the Fed’s Balance Sheet,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,"“Currencies, Capital, and Central Bank Balances: A Policy Conference” a Hoover Institution Monetary Policy Conference Stanford University","Stanford, California",0,0,0
Speech,quarles20180504r.pdf,2018-05-04,Liquidity Regulation and the Size of the Fed’s Balance Sheet,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,"“Currencies, Capital, and Central Bank Balances: A Policy Conference” a Hoover Institution Monetary Policy Conference Stanford University","Stanford, California",0,0,0
Speech,powell20180508a.pdf,2018-05-08,Monetary Policy Influences on Global Financial Conditions and International Capital Flows,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,“Challenges for Monetary Policy and the GFSN in an Evolving Global Economy” Eighth High-Level Conference on the International Monetary System sponsored by the International Monetary Fund and Swiss National Bank,"Zurich, Switzerland",0,0,0
Speech,brainard20180515a.pdf,2018-05-15,"Cryptocurrencies, Digital Currencies, and Distributed Ledger Technologies: What Are We Learning?",Lael Brainard,Member Board of Governors of the Federal Reserve System,Decoding Digital Currency Conference Sponsored by the Federal Reserve Bank of San Francisco,"San Francisco, California",0,0,0
Speech,quarles20180516a.pdf,2018-05-16,Trust Everyone--But Brand Your Cattle Finding the Right Balance in Cross-Border Resolution,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,“Ring-Fencing the Global Banking System: The Shift towards Financial Regulatory Protectionism” Symposium sponsored by Harvard Law School Program on International Financial Systems Harvard Law School,"Cambridge, Massachusetts",0,0,0
Speech,brainard20180518a.pdf,2018-05-18,Keeping Community at the Heart of the Community Reinvestment Act,Lael Brainard,Member Board of Governors of the Federal Reserve System,Association of Neighborhood and Housing Development Eighth Annual Community Development Conference Build.Community.Power,"New York, New York",0,0,0
Speech,powell20180525a.pdf,2018-05-25,Financial Stability and Central Bank Transparency,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,"“350 years of Central Banking: The Past, the Present and the Future” A Sveriges Riksbank anniversary conference sponsored by the Riksbank and the Riksdag","Stockholm, Sweden",0,0,0
Speech,brainard20180531a.pdf,2018-05-31,Sustaining Full Employment and Inflation around Target,Lael Brainard,Member Board of Governors of the Federal Reserve System,Forecasters Club of New York,"New York, New York",0,0,0
Speech,powell20180620a.pdf,2018-06-20,Monetary Policy at a Time of Uncertainty and Tight Labor Markets,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,"“Price and Wage-Setting in Advanced Economies,” an ECB Forum on Central Banking","Sintra, Portugal",0,0,0
Speech,quarles20180627a.pdf,2018-06-27,America’s Vital Interest in Global Efforts to Promote Financial Stability,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,"Utah Bankers Association 110th Annual Convention Sun Valley Inn Sun Valley, Idaho.","Sun Valley, Idaho",0,0,0
Testimony,powell20180717a.pdf,2018-07-17,Semiannual Monetary Policy Report to the Congress,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,quarles20180718a.pdf,2018-07-18,Getting It Right: Factors for Tailoring Supervision and Regulation of Large Financial Institutions,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,American Bankers Association Summer Leadership Meeting,"Salt Lake City, Utah",0,0,0
Speech,quarles20180719a.pdf,2018-07-19,Introductory Remarks by Vice Chairman for Supervision Randal K. Quarles,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,"Alternative Reference Rates Committee Roundtable, The Federal Reserve Bank of New York","New York, New York",0,0,0
Speech,powell20180824a.pdf,2018-08-24,Monetary Policy in a Changing Economy,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,"“Changing Market Structure and Implications for Monetary Policy,” a symposium sponsored by the Federal Reserve Bank of Kansas City","Jackson Hole, Wyoming",0,0,0
Speech,brainard20180912a.pdf,2018-09-12,What Do We Mean by Neutral and What Role Does It Play in Monetary Policy?,Lael Brainard,Member Board of Governors of the Federal Reserve System,Detroit Economic Club,"Detroit, Michigan",0,0,0
Speech,powell20180927a.pdf,2018-09-27,Brief Remarks on the U.S. Economy,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,"Rhode Island Business Leaders Day Washington, D.C.","Washington, D.C.",0,0,0
Testimony,quarles20181002a.pdf,2018-10-02,"Implementation of the Economic Growth, Regulatory Relief, and Consumer Protection Act",Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,powell20181002a.pdf,2018-10-02,Monetary Policy and Risk Management at a Time of Low Inflation and Low Unemployment,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,“Revolution or Evolution? Reexamining Economic Paradigms” 60th Annual Meeting of the National Association for Business Economics,"Boston, Massachusetts",0,0,0
Speech,brainard20181003a.pdf,2018-10-03,Supporting Fast Payments for All,Lael Brainard,Member Board of Governors of the Federal Reserve System,Fed Payments Improvement Community Forum Sponsored by the Federal Reserve Bank of Chicago,"Chicago, Illinois",0,0,0
Speech,quarles20181004a.pdf,2018-10-04,Trends in Urban and Rural Community Banks,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,"“Community Banking in the 21st Century” Sixth Annual Community Banking Research and Policy Conference, sponsored by the Federal Reserve System, the Conference of State Bank Supervisors, and the Federal Deposit Insurance Corporation","St. Louis, Missouri",0,0,0
Speech,brainard20181015a.pdf,2018-10-15,Community Investment in Denver,Lael Brainard,Member Board of Governors of the Federal Reserve System,"Federal Reserve Bank of Kansas City, Denver Branch","Denver, Colorado",0,0,0
Speech,brainard20181017a.pdf,2018-10-17,FinTech and the Search for Full Stack Financial Inclusion,Lael Brainard,Member Board of Governors of the Federal Reserve System,"FinTech, Financial Inclusion – and the Potential to Transform Financial Services Hosted by the Federal Reserve Bank of Boston and the Aspen Institute Financial Security Program","Boston, Massachusetts",0,0,0
Speech,quarles20181018a.pdf,2018-10-18,Don’t Chase the Needles: An Optimistic Assessment of the Economic Outlook and Monetary Policy,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,"Economic Club of New York Luncheon New York, New York","New York, New York",0,0,0
Speech,clarida20181025a.pdf,2018-10-25,Outlook for the U.S. Economy and Monetary Policy,Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,Peterson Institute for International Economics,"Washington, D.C.",0,0,0
Speech,quarles20181109a.pdf,2018-11-09,A New Chapter in Stress Testing,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,Brookings Institution,"Washington, D.C.",0,0,0
Speech,brainard20181113a.pdf,2018-11-13,What Are We Learning about Artificial Intelligence in Financial Services?,Lael Brainard,Member Board of Governors of the Federal Reserve System,Fintech and the New Financial Landscape Hosted by the Federal Reserve Bank of Philadelphia and the Federal Deposit Insurance,"Washington, D.C.",0,0,0
Testimony,quarles20181114a.pdf,2018-11-14,Supervision and Regulation Report,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,quarles20181116a.pdf,2018-11-16,Beginning Stress Testing’s New Chapter,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,“An International Perspective on the Future of Bank Stress Testing” Symposium sponsored by Harvard Law School Program on International Financial Systems Harvard Law School,"Cambridge, Massachusetts",0,0,0
Speech,clarida20181127a.pdf,2018-11-27,Data Dependence and U.S. Monetary Policy,Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,The Clearing House and The Bank Policy Institute Annual Conference,"New York, New York",0,0,0
Speech,powell20181128a.pdf,2018-11-28,The Federal Reserve’s Framework for Monitoring Financial Stability,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,The Economic Club of New York,"New York, New York",0,0,0
Speech,brainard20181203a.pdf,2018-12-03,The Structure of the Treasury Market: What Are We Learning?,Lael Brainard,Member Board of Governors of the Federal Reserve System,“The Evolving Structure of the U.S. Treasury Market” Fourth Annual Conference Hosted by the Federal Reserve Bank of New York,"New York, New York",0,0,0
Speech,brainard20181203b.pdf,2018-12-03,Celebrating Excellence in Community Development,Lael Brainard,Member Board of Governors of the Federal Reserve System,Inaugural Janet L. Yellen Award for Excellence in Community Development,"Washington, D.C.",0,0,0
Speech,powell20181203a.pdf,2018-12-03,Celebrating Excellence in Community Development,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,Inaugural Janet L. Yellen Award for Excellence in Community Development,"Washington, D.C.",0,0,0
Speech,quarles20181205a.pdf,2018-12-05,Banks as Vital Infrastructure for Rural Communities of the West,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,Stanford Institute for Economic Policy Research Stanford University,"Stanford, California",0,0,0
Speech,powell20181206a.pdf,2018-12-06,Welcoming Remarks by Chairman Powell,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,Housing Assistance Council’s 2018 Rural Housing Conference,"Washington, D.C.",0,0,0
Speech,brainard20181207a.pdf,2018-12-07,Assessing Financial Stability over the Cycle,Lael Brainard,Member Board of Governors of the Federal Reserve System,Peterson Institute for International Economics,"Washington, D.C.",0,0,0
Speech,quarles20190109a.pdf,2019-01-09,Insurance Supervision and International Engagement,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,American Council of Life Insurers Executive Roundtable,"Naples, Florida",0,0,0
Speech,clarida20190110a.pdf,2019-01-10,Monetary Policy Outlook for 2019,Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,Money Marketeers of New York University,"New York, New York",0,0,0
Speech,brainard20190201a.pdf,2019-02-01,Strengthening the Community Reinvestment Act: What Are We Learning?,Lael Brainard,Member Board of Governors of the Federal Reserve System,“Research Symposium on the Community Reinvestment Act” Hosted by the Federal Reserve Bank of Philadelphia,"Philadelphia, Pennsylvania",0,0,0
Speech,powell20190206a.pdf,2019-02-06,Welcoming Remarks - Chairman Powell,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,"Conversation with the Chairman: A Teacher Town Hall Meeting Washington, D.C. (And via video link)","Washington, D.C.",0,0,0
Speech,quarles20190206a.pdf,2019-02-06,Inviting Participation: The Public’s Role in Stress Testing’s Next Chapter,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,Council for Economic Education,"New York, New York",0,0,0
Speech,quarles20190210a.pdf,2019-02-10,Ideas of Order: Charting a Course for the Financial Stability Board,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,Bank for International Settlements Special Governors Meeting,Hong Kong,0,0,0
Speech,bowman20190211a.pdf,2019-02-11,A Conversation on Community Banking,Michelle W. Bowman,Member Board of Governors of the Federal Reserve System,"Conference for Community Bankers, sponsored by the American Bankers Association","San Diego, California",0,0,0
Speech,powell20190212a.pdf,2019-02-12,Encouraging Economic Development in High-Poverty Rural Communities,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,"“Rural Places, Rural Spaces: Closing Financial Services Gaps in Persistent Poverty America,” a policy forum sponsored by Hope Enterprise Corporation Mississippi Valley State University",Mississippi,0,0,0
