Actual Document Type,File Name,Release Date,Title,Speaker,Speaker Title,Event Name,Event Location,Congressional Subcommittee Name,Congressional Committee Name,Congressional Body
Speech,duke20110107a.pdf,2011-01-07,The Economic Outlook,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Maryland Bankers Association First Friday Economic Outlook Forum,"Baltimore, Maryland",0,0,0
Testimony,bernanke20110107a.pdf,2011-01-07,The Economic Outlook and Monetary and Fiscal Policy,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on the Budget,U.S. Senate
Speech,yellen20110108a.pdf,2011-01-08,The Federal Reserve’s Asset Purchase Program,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,"The Brimmer Policy Forum, Allied Social Science Associations Annual Meeting","Denver, Colorado",0,0,0
Speech,duke20110202a.pdf,2011-02-02,From Community Banker to Central Banker – My Journey,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,University of North Carolina Kenan-Flagler Business School’s Dean’s Speaker Series,"Chapel Hill, North Carolina",0,0,0
Speech,bernanke_speech_20110203.pdf,2011-02-03,The Economic Outlook and Macroeconomic Policy,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,National Press Club,"Washington, D.C.",0,0,0
Testimony,parkinson20110204a.pdf,2011-02-04,Commercial Real Estate,Patrick M. Parkinson,Director Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System,0,0,0,Congressional Oversight Panel,U.S. Congress
Speech,raskin20110211a.pdf,2011-02-11,Putting the Low Road Behind Us,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,Midwinter Housing Finance Conference,"Park City, Utah",0,0,0
Testimony,tarullo20110215a.pdf,2011-02-15,"Assessing the regulatory, economic, and market implications of the Dodd-Frank derivatives title",Daniel K. Tarullo,Governor Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Testimony,raskin20110217a.pdf,2011-02-17,Interchange fees,Sarah Bloom Raskin,Governor Board of Governors of the Federal Reserve System,0,0,Subcommittee on Financial Institutions and Consumer Credit,Committee on Financial Services,U.S. House of Representatives
Testimony,bernanke20110217a.pdf,2011-02-17,Implementation of the Dodd-Frank Act,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,bernanke20110218a.pdf,2011-02-18,Global Imbalances: Links to Economic and Financial Stability,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Banque de France Financial Stability Review Launch Event,"Paris, France",0,0,0
Speech,yellen20110225a.pdf,2011-02-25,Unconventional Monetary Policy and Central Bank Communications,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,The U.S. Monetary Policy Forum,"New York, New York",0,0,0
Testimony,bernanke20110301a.pdf,2011-03-01,Semiannual Monetary Policy Report to the Congress,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,bernanke20110302a.pdf,2011-03-02,Challenges for State and Local Governments,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,2011 Annual Awards Dinner of the Citizens Budget Commission,"New York, New York",0,0,0
Testimony,nelson20110304a.pdf,2011-03-04,Term Asset-Backed Securities Loan Facility,William R. Nelson,"Deputy Director, Division of Monetary Affairs",0,0,0,Congressional Oversight Panel for the Troubled Asset Relief Program,U.S. Congress
Speech,yellen20110304a.pdf,2011-03-04,Improving the International Monetary and Financial System,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,Banque de France International Symposium,"Paris, France",0,0,0
